interaction_id,user_id,business_id,interaction_type,distance_km,session_duration_s,device_type,timestamp
INT00001,USR0198,BIZ0058,view,0.205,13,android,2026-01-30 14:11:48
INT00002,USR0160,BIZ0075,view,0.681,22,ios,2026-02-22 14:42:53
INT00003,USR0181,BIZ0099,search_click,4.786,29,ios,2026-03-18 20:53:20
INT00004,USR0013,BIZ0017,search_click,4.654,16,ios,2026-02-03 01:27:00
INT00005,USR0110,BIZ0050,profile_view,4.016,144,ios,2026-02-26 08:06:51
INT00006,USR0051,BIZ0097,profile_view,3.842,149,android,2026-02-06 13:56:28
INT00007,USR0179,BIZ0061,search_click,0.061,55,ios,2026-03-12 13:37:17
INT00008,USR0058,BIZ0021,inquiry_sent,2.829,153,ios,2026-02-14 17:17:05
INT00009,USR0171,BIZ0045,inquiry_sent,5.379,184,android,2026-02-04 02:25:52
INT00010,USR0029,BIZ0046,search_click,2.224,59,ios,2026-03-24 14:49:59
INT00011,USR0033,BIZ0067,search_click,0.73,16,ios,2026-03-20 06:31:33
INT00012,USR0019,BIZ0099,search_click,0.469,36,android,2026-03-26 02:19:55
INT00013,USR0141,BIZ0023,search_click,4.556,23,ios,2026-04-09 19:21:37
INT00014,USR0112,BIZ0076,view,4.058,10,android,2026-04-05 18:16:30
INT00015,USR0183,BIZ0077,search_click,5.3,39,ios,2026-03-20 04:13:54
INT00016,USR0114,BIZ0025,saved_business,2.696,28,ios,2026-02-27 16:26:39
INT00017,USR0166,BIZ0090,view,3.115,23,android,2026-04-07 08:31:48
INT00018,USR0170,BIZ0021,search_click,0.48,46,ios,2026-02-15 19:52:56
INT00019,USR0175,BIZ0103,view,4.177,26,ios,2026-04-21 21:12:21
INT00020,USR0112,BIZ0097,review_posted,3.989,209,android,2026-03-25 06:03:44
INT00021,USR0131,BIZ0052,view,0.576,16,android,2026-01-29 07:03:50
INT00022,USR0144,BIZ0099,search_click,4.55,11,android,2026-03-09 01:44:52
INT00023,USR0152,BIZ0050,view,4.741,17,ios,2026-03-19 06:41:56
INT00024,USR0170,BIZ0025,view,3.101,16,ios,2026-02-12 02:27:34
INT00025,USR0172,BIZ0017,view,4.692,9,ios,2026-03-29 10:21:50
INT00026,USR0035,BIZ0010,profile_view,2.488,146,ios,2026-03-26 07:27:32
INT00027,USR0117,BIZ0068,search_click,0.421,32,android,2026-02-14 22:33:03
INT00028,USR0155,BIZ0002,search_click,5.253,55,ios,2026-03-07 04:39:07
INT00029,USR0140,BIZ0077,view,4.517,20,ios,2026-02-08 09:40:38
INT00030,USR0124,BIZ0113,view,0.358,21,ios,2026-03-12 01:30:17
INT00031,USR0021,BIZ0070,profile_view,3.761,49,ios,2026-03-25 09:24:24
INT00032,USR0088,BIZ0072,view,3.233,20,ios,2026-03-08 02:38:13
INT00033,USR0076,BIZ0038,view,5.165,28,ios,2026-04-04 15:30:04
INT00034,USR0145,BIZ0035,profile_view,0.371,176,android,2026-03-29 06:53:35
INT00035,USR0075,BIZ0099,profile_view,4.878,51,android,2026-03-15 17:19:47
INT00036,USR0072,BIZ0035,profile_view,0.256,95,android,2026-04-05 22:43:45
INT00037,USR0155,BIZ0025,search_click,3.094,38,ios,2026-04-11 22:10:41
INT00038,USR0067,BIZ0099,view,5.34,21,android,2026-03-01 01:47:38
INT00039,USR0022,BIZ0115,search_click,2.856,41,ios,2026-04-08 13:14:12
INT00040,USR0061,BIZ0090,profile_view,4.864,177,ios,2026-02-03 02:35:09
INT00041,USR0068,BIZ0097,view,2.421,17,ios,2026-02-25 08:11:43
INT00042,USR0192,BIZ0112,review_posted,4.645,234,ios,2026-03-12 22:21:21
INT00043,USR0038,BIZ0071,search_click,0.614,38,ios,2026-03-31 06:47:17
INT00044,USR0136,BIZ0093,view,2.703,25,ios,2026-04-25 06:35:56
INT00045,USR0111,BIZ0083,profile_view,3.881,99,ios,2026-04-11 10:14:44
INT00046,USR0066,BIZ0089,search_click,4.37,57,android,2026-04-05 07:21:33
INT00047,USR0151,BIZ0099,search_click,0.357,21,ios,2026-03-19 12:05:07
INT00048,USR0173,BIZ0002,view,4.702,21,android,2026-03-31 21:55:17
INT00049,USR0090,BIZ0033,view,0.526,5,android,2026-02-03 08:06:26
INT00050,USR0153,BIZ0089,inquiry_sent,0.527,223,android,2026-04-02 22:41:04
INT00051,USR0031,BIZ0010,profile_view,4.053,174,android,2026-04-19 20:36:21
INT00052,USR0179,BIZ0027,view,3.06,7,ios,2026-04-22 06:15:51
INT00053,USR0071,BIZ0099,profile_view,0.327,112,ios,2026-02-12 19:05:20
INT00054,USR0019,BIZ0037,view,2.257,6,ios,2026-04-25 05:21:02
INT00055,USR0068,BIZ0026,view,5.201,11,ios,2026-02-14 06:40:38
INT00056,USR0126,BIZ0014,search_click,4.501,49,android,2026-04-21 08:28:41
INT00057,USR0184,BIZ0035,view,4.312,28,ios,2026-04-09 04:04:28
INT00058,USR0005,BIZ0107,view,4.748,6,ios,2026-02-22 04:44:42
INT00059,USR0180,BIZ0045,search_click,4.678,55,ios,2026-03-13 06:01:24
INT00060,USR0104,BIZ0099,profile_view,0.287,168,android,2026-01-29 12:23:10
INT00061,USR0177,BIZ0099,search_click,0.287,32,ios,2026-03-31 14:00:27
INT00062,USR0103,BIZ0007,saved_business,4.048,61,ios,2026-02-05 11:01:44
INT00063,USR0118,BIZ0098,view,4.691,22,android,2026-04-26 07:04:13
INT00064,USR0170,BIZ0028,profile_view,2.998,121,ios,2026-02-05 20:32:43
INT00065,USR0162,BIZ0058,view,2.728,5,android,2026-03-14 05:59:04
INT00066,USR0017,BIZ0099,profile_view,0.17,145,android,2026-02-01 13:15:16
INT00067,USR0015,BIZ0045,profile_view,0.353,84,ios,2026-04-23 19:50:10
INT00068,USR0138,BIZ0021,search_click,5.058,12,android,2026-03-14 05:15:17
INT00069,USR0005,BIZ0062,review_posted,4.532,239,android,2026-01-30 12:16:16
INT00070,USR0162,BIZ0006,view,0.488,19,android,2026-04-14 09:36:10
INT00071,USR0017,BIZ0099,view,0.17,30,android,2026-02-03 21:33:36
INT00072,USR0052,BIZ0056,inquiry_sent,4.827,233,ios,2026-02-27 09:35:23
INT00073,USR0176,BIZ0077,view,5.188,30,android,2026-04-07 23:58:28
INT00074,USR0152,BIZ0025,view,3.107,29,ios,2026-02-13 08:13:55
INT00075,USR0095,BIZ0074,search_click,0.571,12,android,2026-02-07 05:10:22
INT00076,USR0162,BIZ0083,profile_view,4.242,154,android,2026-01-29 18:57:26
INT00077,USR0046,BIZ0110,profile_view,4.508,102,ios,2026-04-01 15:12:35
INT00078,USR0198,BIZ0062,view,4.042,13,ios,2026-03-07 07:13:48
INT00079,USR0045,BIZ0083,view,0.506,20,android,2026-03-26 15:58:34
INT00080,USR0078,BIZ0046,view,0.81,8,android,2026-03-25 22:06:41
INT00081,USR0195,BIZ0118,search_click,0.427,50,android,2026-02-23 02:19:25
INT00082,USR0050,BIZ0015,view,0.121,20,ios,2026-02-14 02:06:06
INT00083,USR0172,BIZ0109,view,0.266,11,ios,2026-02-20 20:13:37
INT00084,USR0158,BIZ0099,profile_view,5.295,43,android,2026-02-12 10:37:15
INT00085,USR0008,BIZ0063,view,4.405,28,ios,2026-03-23 13:29:19
INT00086,USR0084,BIZ0054,profile_view,4.789,88,android,2026-02-27 13:41:16
INT00087,USR0026,BIZ0034,search_click,0.182,24,android,2026-03-12 14:34:52
INT00088,USR0125,BIZ0007,search_click,4.143,49,ios,2026-02-14 05:51:13
INT00089,USR0096,BIZ0019,profile_view,4.855,99,android,2026-02-28 10:46:03
INT00090,USR0009,BIZ0095,view,4.627,19,ios,2026-03-07 20:36:21
INT00091,USR0195,BIZ0046,inquiry_sent,0.614,262,android,2026-03-22 05:59:04
INT00092,USR0142,BIZ0099,view,0.464,20,android,2026-03-23 11:03:25
INT00093,USR0119,BIZ0038,profile_view,0.746,93,android,2026-02-27 16:12:05
INT00094,USR0149,BIZ0034,review_posted,0.425,206,android,2026-03-07 19:37:46
INT00095,USR0012,BIZ0005,search_click,0.412,12,ios,2026-03-18 00:27:55
INT00096,USR0123,BIZ0099,profile_view,2.57,156,android,2026-02-05 16:43:12
INT00097,USR0193,BIZ0002,profile_view,0.22,63,ios,2026-02-24 20:08:58
INT00098,USR0166,BIZ0120,view,3.146,10,ios,2026-04-16 10:21:14
INT00099,USR0192,BIZ0078,saved_business,5.298,32,ios,2026-02-14 20:43:30
INT00100,USR0095,BIZ0087,profile_view,4.499,48,ios,2026-04-19 15:03:38
INT00101,USR0086,BIZ0072,view,5.561,27,android,2026-04-10 02:39:24
INT00102,USR0021,BIZ0085,view,3.871,21,ios,2026-04-19 03:16:28
INT00103,USR0029,BIZ0049,search_click,2.421,33,android,2026-03-28 13:17:43
INT00104,USR0181,BIZ0008,profile_view,0.114,115,android,2026-03-18 18:51:05
INT00105,USR0167,BIZ0062,review_posted,4.235,239,android,2026-04-07 00:05:49
INT00106,USR0195,BIZ0034,search_click,0.336,53,ios,2026-02-23 03:52:34
INT00107,USR0017,BIZ0049,search_click,2.878,17,ios,2026-04-03 02:27:53
INT00108,USR0174,BIZ0099,inquiry_sent,0.151,154,android,2026-02-15 04:05:09
INT00109,USR0118,BIZ0011,search_click,4.221,14,android,2026-02-13 01:08:14
INT00110,USR0029,BIZ0095,search_click,4.947,43,android,2026-02-24 14:29:18
INT00111,USR0175,BIZ0072,view,5.228,19,android,2026-02-24 10:55:07
INT00112,USR0017,BIZ0002,inquiry_sent,5.342,193,ios,2026-03-07 06:29:47
INT00113,USR0088,BIZ0089,profile_view,4.851,165,ios,2026-03-11 10:32:15
INT00114,USR0146,BIZ0018,profile_view,5.417,96,android,2026-03-13 19:12:26
INT00115,USR0074,BIZ0099,view,0.119,19,android,2026-03-25 21:29:01
INT00116,USR0042,BIZ0097,view,2.368,27,android,2026-02-12 17:33:09
INT00117,USR0030,BIZ0005,view,0.31,13,ios,2026-02-14 19:45:17
INT00118,USR0144,BIZ0097,profile_view,3.916,67,ios,2026-03-10 13:50:57
INT00119,USR0042,BIZ0072,view,0.314,20,android,2026-04-24 12:28:00
INT00120,USR0082,BIZ0022,saved_business,0.449,79,ios,2026-03-28 11:17:21
INT00121,USR0076,BIZ0062,view,4.805,23,android,2026-04-11 04:19:36
INT00122,USR0187,BIZ0108,search_click,4.471,56,ios,2026-04-20 05:37:09
INT00123,USR0036,BIZ0092,view,4.496,24,android,2026-03-10 08:32:36
INT00124,USR0024,BIZ0045,profile_view,2.573,164,android,2026-04-09 12:48:51
INT00125,USR0197,BIZ0038,view,4.92,19,android,2026-04-27 01:03:20
INT00126,USR0101,BIZ0029,view,4.088,6,ios,2026-03-05 23:58:03
INT00127,USR0184,BIZ0099,search_click,2.395,28,ios,2026-03-01 20:10:09
INT00128,USR0115,BIZ0103,view,3.98,19,ios,2026-04-11 13:12:11
INT00129,USR0074,BIZ0023,profile_view,5.41,136,android,2026-04-14 09:56:50
INT00130,USR0154,BIZ0010,view,0.478,21,ios,2026-02-04 04:03:08
INT00131,USR0152,BIZ0098,view,4.963,13,ios,2026-02-13 23:00:40
INT00132,USR0119,BIZ0097,profile_view,4.536,77,ios,2026-02-24 06:28:58
INT00133,USR0126,BIZ0005,inquiry_sent,4.838,137,ios,2026-03-20 13:17:22
INT00134,USR0119,BIZ0034,profile_view,4.51,106,ios,2026-02-09 09:27:52
INT00135,USR0171,BIZ0106,search_click,4.769,54,android,2026-01-31 18:40:42
INT00136,USR0196,BIZ0037,saved_business,4.425,61,ios,2026-03-21 02:53:00
INT00137,USR0067,BIZ0087,search_click,4.808,17,ios,2026-03-16 08:17:53
INT00138,USR0148,BIZ0002,view,4.658,9,ios,2026-03-11 17:05:50
INT00139,USR0178,BIZ0019,view,0.218,18,ios,2026-02-02 14:27:59
INT00140,USR0075,BIZ0071,review_posted,0.169,220,android,2026-04-08 00:58:17
INT00141,USR0154,BIZ0097,search_click,0.711,53,ios,2026-02-22 15:35:37
INT00142,USR0179,BIZ0094,view,0.863,9,android,2026-02-10 13:03:11
INT00143,USR0073,BIZ0049,search_click,4.162,20,android,2026-02-17 19:51:17
INT00144,USR0129,BIZ0034,view,2.624,24,android,2026-03-07 18:42:37
INT00145,USR0020,BIZ0015,view,0.276,16,ios,2026-04-01 09:54:42
INT00146,USR0036,BIZ0099,inquiry_sent,2.854,255,ios,2026-02-13 17:12:35
INT00147,USR0078,BIZ0003,inquiry_sent,3.183,279,android,2026-04-01 03:25:27
INT00148,USR0079,BIZ0017,view,5.198,27,android,2026-02-05 05:09:02
INT00149,USR0199,BIZ0063,search_click,4.629,12,android,2026-03-12 10:27:36
